model,dirname,level,r,ci_lo,ci_hi,ci_width
3B inst L,llama3b_instruct_v3,scale,0.8457728996545316,0.7788328539466158,0.8825247831686982,0.1036919292220823
7B base Q,qwen7b_base_v2,item,0.6990752722676484,0.6398469779833568,0.7090709051571331,0.0692239271737763
7B base Q,qwen7b_base_v2,item_within,0.99869221639619,0.9976581077294412,0.99876745609578,0.0011093483663388
7B base Q,qwen7b_base_v2,item_between,0.6188489937971529,0.5350733955310718,0.6322344232764673,0.0971610277453954
7B base Q,qwen7b_base_v2,subscale,0.7106876534394734,0.6482390404482671,0.7530450967670047,0.1048060563187376
7B base Q,qwen7b_base_v2,scale,0.8382449206330735,0.7812622344707497,0.8762330796488818,0.094970845178132
7B inst Q,qwen7b_instruct_v3,item,0.7017343422557175,0.6411181753944071,0.7102278841639148,0.0691097087695077
7B inst Q,qwen7b_instruct_v3,item_within,0.9983682134544491,0.9971329236507804,0.9985519054664068,0.0014189818156264
7B inst Q,qwen7b_instruct_v3,item_between,0.6490347713310848,0.5678379664719284,0.6555054085564674,0.087667442084539
7B inst Q,qwen7b_instruct_v3,subscale,0.7766751721888377,0.7224248892234252,0.8147364284470409,0.0923115392236156
7B inst Q,qwen7b_instruct_v3,scale,0.8647430930882093,0.8106328303849764,0.9017467059695944,0.0911138755846181
8B base L,llama8b_base_v2,item,0.6365550163954239,0.5785205277078197,0.6441288103031237,0.065608282595304
8B base L,llama8b_base_v2,item_within,0.9996840235595236,0.9993159012140528,0.9997701329714852,0.0004542317574323
8B base L,llama8b_base_v2,item_between,0.5424383679776841,0.46573420356529,0.549780349715205,0.0840461461499149
8B base L,llama8b_base_v2,subscale,0.714408401937888,0.646641504466526,0.7565793891129068,0.1099378846463807
8B base L,llama8b_base_v2,scale,0.8806376222366038,0.8287888746111975,0.9118983746686712,0.0831095000574735
8B inst L,llama8b_instruct_v3,item,0.6921224479741703,0.6340174467467198,0.6946511052550728,0.060633658508353
8B inst L,llama8b_instruct_v3,item_within,0.9997343492249332,0.9995263664951772,0.9998067549928048,0.0002803884976277
8B inst L,llama8b_instruct_v3,item_between,0.6257449392787339,0.5474002330896949,0.6270783281868522,0.0796780950971572
8B inst L,llama8b_instruct_v3,subscale,0.7783625538249939,0.7266835291908347,0.8046745718699644,0.0779910426791297
8B inst L,llama8b_instruct_v3,scale,0.908335700678381,0.8669560857621027,0.9284507158561642,0.0614946300940615
14B base Q,qwen14b_base_v2,item,0.7017062868480611,0.6376568558382599,0.7150363670720096,0.0773795112337496
14B base Q,qwen14b_base_v2,item_within,0.9994684351089584,0.998991478917886,0.9995845270219628,0.0005930481040766
14B base Q,qwen14b_base_v2,item_between,0.6379007914952406,0.5507098685478472,0.6530145696787618,0.1023047011309146
14B base Q,qwen14b_base_v2,subscale,0.731685899360573,0.6649245396378207,0.7798879557140558,0.114963416076235
14B base Q,qwen14b_base_v2,scale,0.8475798330680171,0.794369933804246,0.8868051034872322,0.0924351696829861
14B inst Q,qwen14b_instruct_v3,item,0.7078171782310904,0.6574922172013099,0.7121161383492939,0.05462392114798398
14B inst Q,qwen14b_instruct_v3,item_within,0.9980734519106728,0.9968504279721461,0.9987308712248669,0.0018804432527208537
14B inst Q,qwen14b_instruct_v3,item_between,0.6544276466938468,0.5848560793626951,0.6563710605204358,0.07151498115774069
14B inst Q,qwen14b_instruct_v3,subscale,0.7935920171318104,0.7431935799549279,0.8261605510981044,0.08296697114317653
14B inst Q,qwen14b_instruct_v3,scale,0.8430227205395835,0.7959405573135959,0.8763597746692978,0.0804192173557019
