,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Scale
SelfConst_Q19,0.06115015962918138,-0.08542328142676654,-0.02452680725889014,0.04776359086444993,-0.029110565774279902,-0.014080898236228453,0.11544812779906052,-0.10800545293653123,0.03547536770654995,0.4297702200233093,SelfConst
SelfConst_Q20,0.01789046602354458,0.1283179437283128,0.15350533864988375,-0.2090463110996739,0.19756055548546203,0.06222853229068933,-0.11583539228639933,-0.08151342428575202,-0.010919975133137918,0.329382853210967,SelfConst
SelfConst_Q21,-0.12031444945790501,0.08947850056956624,0.20556508544321464,-0.11704060877956339,0.3287652162075918,0.19552332038448067,0.03713915970739169,0.024574748689924267,-0.09426192983847786,-0.017319599879408593,SelfConst
SelfConst_Q22,-0.009950741035608739,-0.13604655442937866,0.03062504764135311,-0.12155090069315914,-0.0013547238734879599,0.17422985782236783,-0.09011131999700643,0.0053927549368988125,0.067222316001755,-0.07779246373939902,SelfConst
SelfConst_Q23,-0.17921420739660365,-0.06459462014322934,0.18663944327466558,-0.08651445556024252,-0.0030900144407147844,0.20490719505536165,0.16063795219633545,-0.07683457542348171,-0.06100922938728245,-0.2426425125818163,SelfConst
SelfConst_Q24,0.004285517988006177,-0.033906598124984144,0.04738793489128886,0.591209509714852,0.03420896126978001,0.006061491895654774,0.0998894679559394,-0.017048771148282755,-0.026672946285576773,0.18810299330762156,SelfConst
LifeSat_Q1,0.01587892385941773,-0.0006914060362364062,0.9662893127520975,-7.866443005894708e-06,0.03326264989843751,0.02270527507948192,0.029521063904507015,0.0156414152775753,-0.09940353400308019,-0.010114047597350516,LifeSat
LifeSat_Q2,0.03443486018676417,0.020950345266403714,0.9177279242084323,0.0022117288696630218,-0.015716344202175533,0.06249763050241221,-0.01894040431177314,-0.006209724080741817,0.030576746391698086,-0.02550470947068107,LifeSat
LifeSat_Q3,0.02572190916098875,-0.028972901987188656,0.8878936877039487,0.04327228470120391,-0.01143524321072488,-0.028202589959666312,-0.045262517167779036,0.028156177564421233,0.012561747716331088,0.035217236899772325,LifeSat
LifeSat_Q4,-0.007812960881447712,-0.03563891429623302,0.6446867025359365,0.016007140753737183,0.006119094408313205,0.010130616172638664,0.026086623202214825,-0.0714925200925053,0.10127764125307928,-0.04917380403618766,LifeSat
LifeSat_Q5,-0.04506645136189777,-0.03576586421296628,0.5158896049752131,0.1000193300329244,0.01985563476863452,-0.06220295956887181,-0.06723078042129535,-0.04240571995200822,0.023682052277363804,-0.0016198972633429429,LifeSat
Lonely_Q1,0.15878210508013393,0.34853589914818517,0.012706736952986799,-0.21213379893498902,-0.42212926357477093,0.04714007715762938,-0.03691785359276578,-0.19128732107491356,-0.0979262578959795,0.05871202213070567,Lonely
Lonely_Q2,-0.042133249797188126,0.8367667439528267,0.028570970919844056,0.1342816705800883,0.024297240398834036,0.031302551912435,-0.01139737798617808,0.021489528407062405,-0.04837689658222797,-0.011276954363968467,Lonely
Lonely_Q3,0.010724576857320306,0.814676499617464,0.010921465215368225,0.09508642939846398,0.04264976550896368,0.03846585336007466,0.02529318989866174,-0.0568422921208481,-0.12882371819258642,0.06131208480011576,Lonely
Lonely_Q4,0.21786961271935446,0.49614439777608726,-0.10817328989264588,0.00033332718947164255,-0.040670585396204925,-0.02290323756428533,0.050917580478689155,0.03323169654629045,0.022235782517938153,0.05481025650419804,Lonely
Lonely_Q5,0.040236318772862954,0.46957270984148775,0.04837195569014223,-0.1939090026553848,-0.2263439406497774,-0.08778900407490678,-0.02441797239525246,-0.07979287975264397,-0.06472806316601298,-0.11759329069171359,Lonely
Lonely_Q6,0.0197949937048748,0.42748816527314615,0.0036362753042983205,-0.145678093684245,-0.15905538517097897,-0.1556457366567789,-0.017560290421556667,0.0014005164500842454,-0.007007599876506391,-0.037673306742665925,Lonely
Lonely_Q7,0.1475537411736394,0.47471722519863363,0.010192422528944554,-0.3803116741725934,-0.2044422546193723,-0.082208171013176,0.06283659398873696,-0.14380764045528482,0.032508941667906306,0.15570338059062455,Lonely
Lonely_Q8,0.08486202842631677,0.5776470032010884,-0.07334117857595814,-0.22597676091651492,-0.0434587852257518,0.06397263987027682,-0.011216453629827075,0.08690301178938616,0.022311256005723236,0.12151753590997959,Lonely
