items_per_subscale,alpha_target,seed,recovered_slope,recovered_mantel_r,recovered_pearson,recovered_slope_vs_human,recovered_mantel_r_vs_human,n_pairs
5,0.85,4,1.2379341421797951,0.9983012425461891,0.9983012425461891,1.237971415079513,0.9699551709938096,120
5,0.85,5,1.2412899819477268,0.9981887114737316,0.9981887114737316,1.2827513956552572,0.9831691134837501,120
5,0.85,6,1.2354017056454916,0.9982227969931261,0.9982227969931261,1.2668307450997078,0.9822513522290599,120
5,0.85,7,1.2277755127992969,0.9983389455030173,0.9983389455030173,1.3229232113856775,0.9820965756248717,120
5,0.85,8,1.2236465514128174,0.9981511396197734,0.9981511396197734,1.265573353258443,0.9813467456082712,120
5,0.85,9,1.2224344836907988,0.997898585823707,0.997898585823707,1.1569689329754569,0.9761374593244496,120
5,0.85,10,1.2396543525352206,0.998444028021583,0.998444028021583,1.3841978136790731,0.970451993088093,120
5,0.85,11,1.2403654177407504,0.9984242155926109,0.9984242155926109,1.2420336795166274,0.9701738557351343,120
5,0.85,12,1.2548053861434951,0.9976250680606049,0.9976250680606049,1.1734108295652241,0.9707270073436602,120
5,0.85,13,1.226116798272741,0.9981182920349035,0.9981182920349035,1.2318884124025995,0.976771645218839,120
5,0.85,14,1.2439518593279804,0.9976646318990969,0.9976646318990969,1.181746129264783,0.9717048362047528,120
5,0.85,15,1.2246066269368745,0.9977043816595648,0.9977043816595648,1.2683951618141733,0.9707851633593826,120
5,0.85,16,1.2271796138225393,0.9982550831036295,0.9982550831036295,1.2524497862130226,0.9844426096063441,120
5,0.85,17,1.2278291669656836,0.9972857239772079,0.9972857239772079,1.2398783045082253,0.9757337635863684,120
5,0.85,18,1.2093389949116378,0.998259492765666,0.998259492765666,1.0986173833077348,0.9661611039199755,120
5,0.85,19,1.239499137442102,0.9976161953648637,0.9976161953648637,1.2298892663843477,0.9777471643159188,120
7,0.6,0,1.3558454958685637,0.9925746847868234,0.9925746847868234,1.2845719566734306,0.9714099706941847,120
7,0.6,1,1.3839772028415893,0.991711728584955,0.991711728584955,1.4188094632872241,0.9772381310919562,120
7,0.6,2,1.3950493620056776,0.991492129446748,0.991492129446748,1.4458311927279677,0.9814069387378859,120
7,0.6,3,1.3429356257805858,0.9931499481626548,0.9931499481626548,1.3739360969034657,0.9782424418851537,120
7,0.6,4,1.3938849022296755,0.9913068121159954,0.9913068121159954,1.3971992210251127,0.9654204330925478,120
7,0.6,5,1.3834349909139323,0.993673117378752,0.993673117378752,1.4341133896598173,0.981780952948446,120
