label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Scale
Lonely_Q6,0.0197949937048748,0.4274881652731461,0.0036362753042983,-0.145678093684245,-0.1590553851709789,-0.1556457366567789,-0.0175602904215566,0.0014005164500842,-0.0070075998765063,-0.0376733067426659,Lonely
Lonely_Q7,0.1475537411736394,0.4747172251986336,0.0101924225289445,-0.3803116741725934,-0.2044422546193723,-0.082208171013176,0.0628365939887369,-0.1438076404552848,0.0325089416679063,0.1557033805906245,Lonely
Lonely_Q8,0.0848620284263167,0.5776470032010884,-0.0733411785759581,-0.2259767609165149,-0.0434587852257518,0.0639726398702768,-0.011216453629827,0.0869030117893861,0.0223112560057232,0.1215175359099795,Lonely
Lonely_Q9,0.1811556396332293,0.060720778874511,-0.0534145999763499,-0.2797776028347036,-0.348217794272719,-0.1116083677630933,-0.1069132838673336,-0.0662911791204226,-0.0996530441768955,0.0436868995097694,Lonely
Lonely_Q10,0.0160361874489582,0.3215249067166313,-0.2203068275376312,0.031250638262252,-0.1306854983601424,0.0036676156843386,-0.1058763292964736,-0.0523038008689987,0.0743568731027975,-0.1095421477616091,Lonely
Lonely_Q11,0.161315776801124,0.5472387584226334,-0.0743671789115665,-0.0323235853457153,-0.0397211334686601,-0.0591856158566485,0.079115805202563,0.0106573897050221,0.1691652797843407,-0.0216957407571993,Lonely
Lonely_Q12,-0.0324451495859498,0.625547240324024,-0.0407864212528491,-0.2340022528736206,-0.0078907781881309,0.0460450501141084,0.0963323401035786,0.0548527735851937,0.1380549749329377,-0.1734950358366725,Lonely
Lonely_Q13,0.0493600954162543,0.6097316848083274,-0.1594029051513778,-0.1003715830220831,-0.006404861437561,0.0188514841744796,-0.0333078304777842,0.0983235203589889,0.0931683001239137,0.0661927331737773,Lonely
Lonely_Q14,0.1316727673394246,0.4718098894479054,-0.090894907209644,0.0009335296012809,-0.1272291168311361,0.1579077668879186,-0.0191227889483498,-0.0113217883402809,0.0470326640508475,-0.1920409951529561,Lonely
Lonely_Q15,-0.0611294148809311,0.3959771847253956,-0.1045912493039712,0.1485229682496099,-0.1286719508491979,-0.1749810785515937,-0.174349386671883,0.0130904293000104,-0.0261065011371534,-0.073312080580059,Lonely
Lonely_Q16,-0.0958543578966615,0.5319479432463592,-0.0394561417827695,0.0169483201327598,-0.0030559071467862,-0.1649278906010584,-0.0444388693693751,-0.0628387927500135,0.0027353476982257,-0.0742167763358334,Lonely
Lonely_Q17,0.2643766229094589,0.0318425018216225,-0.0526570827065198,-0.0193848401400606,-0.4140801752025348,-0.1299123727585211,0.0852010057198245,-0.0226531676139803,0.2046373203093877,-0.0120452479583094,Lonely
Lonely_Q18,-0.0903974775428232,0.6648195708049014,0.0525734992437719,0.0727009177424647,0.1234792860460176,-0.0032339281841336,-0.0224183137315906,0.0524665811114287,-0.0797720159231344,0.0024402366241049,Lonely
Lonely_Q19,-0.201486674410061,0.4592597909166493,-0.1172553569530573,0.1638505476597173,-0.1246963158929096,-0.1268866963883145,-0.2519870495470612,0.0312528972144857,-0.0389781181430997,-0.0351759147974148,Lonely
